Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_Per_SQM,Postal_District,Market_Tier
"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",595000.0,4,1,Semi-D,93.0,D1,53.291674,-6.23159,4565.0,kilmacud-dublin,Dublin,"Four bed home in a prime location - 93sqms / 1000 sq. ft., Off street parking, Superb local schools, Gas fired central heating., Enjoy access to local amenities parks, and public transport., All fitted carpets, curtains, light fittings, and kitchen appliances are included., Quiet yet highly convenient location",1983.0,6397.8494623655915,Dublin 14,Mid-Market
"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",1100000.0,4,2,Semi-D,120.0,D1,53.313596,-6.24466,4085.0,milltown-dublin,Dublin,"Secluded South East Facing Rear Garden, Walking distance to Milltown Luas, village and Golf Club, Close to UCD Belfield and the Dodder Park Trail River Walks, Gas Fired Central Heating, Double Glazed Windows",1930.0,9166.666666666666,Dublin 6,Premium
"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",450000.0,3,2,Detached,85.0,C3,53.321495,-6.314768,2741.0,crumlin-dublin,Dublin,"Modern Detached property, Modern kitchen recently installed, Extra insulation fitted, Gas fired central heating, Three bedrooms, DG PVC Windows, Large back garden, Close to City Centre",2005.0,5294.117647058823,Dublin 12,Mid-Market
"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",325000.0,2,1,End of Terrace,48.0,D2,53.336208,-6.32927,14435.0,inchicore-dublin,Dublin,"Year of construction 1910, Recently refurbished, Red brick facade, End of terrace, Sash windows, Ample storage, Block shed, Engineered oak flooring, Fully integrated kitchen, High spec finish",1920.0,6770.833333333333,Dublin 8,Affordable
"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",395000.0,1,1,Apartment,54.0,B3,53.338922,-6.235775,5904.0,dublin-4-dublin,Dublin,,2003.0,7314.814814814815,Dublin 4,Mid-Market
"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",1250000.0,4,3,Terrace,192.0,A2,53.285806,-6.224107,7816.0,kilmacud-dublin,Dublin,,2018.0,6510.416666666667,Greater Dublin,Premium
"248 Laraghcon, Lucan, Co. Dublin, K78HN72",535000.0,4,3,End of Terrace,140.0,B3,53.36459,-6.447448,8968.0,lucan-dublin,Dublin,,2005.0,3821.4285714285716,Greater Dublin,Mid-Market
"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",1250000.0,3,3,Semi-D,170.0,C1,53.360274,-6.294232,9044.0,navan-road-d7-dublin,Dublin,"Turnkey condition, Modern finish throughout, Large rear garden, Excellent location., Space for 3 cars for off street parking, Electric gate & state of the art security system installed, renovated to a very high standard throughout, Floored attic space for extra storage, Large attic",1928.0,7352.941176470588,Dublin 7,Premium
"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",495000.0,2,1,Terrace,68.0,D2,53.291274,-6.137658,8729.0,dun-laoghaire-dublin,Dublin,"Charming two-bedroom mid-terrace period home in a highly convenient location, West facing rear courtyard, Gas fired central heating, Fantastic location in the heart of Dun Laoghaire, Excellent transport links including DART several bus routes (QBC) Aircoach M50 and N11, On street permit parking, BER D2",1905.0,7279.411764705882,Greater Dublin,Mid-Market
"4 Earlsfort View, Lucan, Co. Dublin, K78HH52",385000.0,3,1,Semi-D,,C2,53.34297,-6.414212,10540.0,lucan-dublin,Dublin,,1995.0,,Greater Dublin,Affordable
