Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"'Horizons', Banna East, Ardfert, Banna, Co. Kerry, V92HT65",499000,4,6,Detached,247,B3,52.359776,-9.797407,3558,banna-kerry,Kerry,"Sea/Mountain/Countryside Views, Equal distance between Banna Beach & Ballyheigue Beach, Exceptional finish throughout, Stunning Garden/Oasis, Electric Gate, Currently incorporates a self contained apartment/granny flat, BER B3, 20 Min walk to Blackrock Beach, Windows Replaced approx 3 years ago, Large, wide spaces and hallway would allow ease of access for persons with mobility issues.",NA
"Ivella, Rectory Road, Enniscorthy, Co. Wexford, Y21WN30",925000,4,3,End of Terrace,262,SI_666,52.504937,-6.562804,5231,enniscorthy-wexford,Wexford,"Exceptionally well-presented heritage property, Refurbished in 2014 to perfecting standards, 4 bedrooms, 3 bathrooms, Extending to c. 262 sq.m. , Separate studio apartment",NA
"Grey's Corner, Ferrybank, Co. Wexford, Y35XNP4",895000,5,2,Detached,265,B3,52.3486,-6.456929,14011,ferrybank-wexford,Wexford,"Overlooking the River Slaney Estuary & Wexford town.  , Built in 2007 , Extending to c. 265 sq.m. / 2,853 sq.ft. , 5 bedrooms, 2 bathrooms., Private & sheltered patio facing the river estuary view.",2007
"Lindon Lodge, Luddenmore, Ballyneety, Co. Limerick, V35EE76",445000,5,2,Detached,0.5,D1,52.5708405,-8.5358043,2422,ballyneety-limerick,Limerick,"Built in 1978, Circa 192 sq.m., Stands on Circa 0.50 acre site, 10 minute commute Limerick City, Pantry & Utility, 2 Reception rooms, Attached Garage, O.F.C.H, Landscaped Lawns, Close to all amenities",NA
"Ballard, Barna, Co. Galway, H91P22T",1250000,4,4,Detached,333,D2,53.257378,-9.134137,19535,barna-galway,Galway,,1978
"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",595000,4,1,Semi-D,93,D1,53.291674,-6.23159,4565,kilmacud-dublin,Dublin,"Four bed home in a prime location - 93sqms / 1000 sq. ft., Off street parking, Superb local schools, Gas fired central heating., Enjoy access to local amenities parks, and public transport., All fitted carpets, curtains, light fittings, and kitchen appliances are included., Quiet yet highly convenient location",1983
"41 Monaleen Heights, Castletroy, Limerick City, Co. Limerick, V94TFT6",565000,4,3,Detached,178,B3,52.662889,-8.554347,2309,limerick-city,Limerick,"Turnkey Four Bedroom Detached Property, High BER Rating & Solar Panels Installed, 3 x Wood Burning Stoves, Burglar Alarm & Wired For Broadband, Attic Floored For Storage, Nest Thermostat Installed, Filtered Water In Kitchen, Iron Gates On Either Side Of The Property, Steel 3mx3m Shed With Concrete Floor & Non-Drip Interior Lining & Insulated Roof, Astroturf Low Maintenance Rear Garden ",1980
"48 Elderwood Park, Boreenmanna Road, Ballintemple, Co. Cork, T12E621",295000,2,2,Apartment,88,C2,51.892087,-8.441552,2489,ballintemple-cork,Cork,"3rd Floor Two Bedroomed Apartment, Great Location, close to Douglas, Cork City and link road networks, Gas central heating, Underground park space and outside visitor spaces, Lift access",2006
"19 Beline Way, Banagher Court, Piltown, Co. Kilkenny, E32FK76",210000,3,3,Semi-D,90,C2,52.353025,-7.332319,1459,piltown-kilkenny,Kilkenny,"Prime location , Oil fired central heating , 3 Bedrooms, 3 Bathrooms",NA
"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",1100000,4,2,Semi-D,120,D1,53.313596,-6.24466,4085,milltown-dublin,Dublin,"Secluded South East Facing Rear Garden, Walking distance to Milltown Luas, village and Golf Club, Close to UCD Belfield and the Dodder Park Trail River Walks, Gas Fired Central Heating, Double Glazed Windows",1930
"8 Oak View, Ballacollig, Mountmellick, Co. Laois, R32Y227",230000,3,3,Semi-D,117,C3,53.120993,-7.315643,2966,mountmellick-laois,Laois,"Double drive to front, Overlooking green to front, Double glazed windows, Concrete patio to rear, Sunny South facing garden, Attic converted – suit as home office / Storage",2006
"4 The Terrace, Borrisokane, Nenagh, Co. Tipperary, E45XK53",565000,5,3,Semi-D,330,N/A,52.990565,-8.131095,6469,nenagh-tipperary,Tipperary,"Stunning period property., Original features., Converted Stone coach house offering additional accommodation / workspace or opportunity to rent out., 4/5 bedroom., In excellent condition., Oil fired Aga range., Detached garage to the rear of the site., Stunning gardens., Electric gates.",NA
"FORTH MOUNTAIN STUD, The Cools, Barntown, Co. Wexford, Y35YP57",AMV: 1400000,4,5,Detached,310,C2,52.315785,-6.582969,3559,barntown-wexford,Wexford,"71 acres of lush green farmland., 31 spacious stables, lunging & all weather jumping arena also cross country., Spacious car park for lorries & horse boxes., Large indoor riding arena (7 span) and 2 fully equipped tack rooms., Residence is very tastefully decorated and presented., Conveniently located only a five minute drive to the N11/N25 & just a 10km to Wexford town., Fantastic opportunity Not to be Missed.",2003
"85 Westbrook, Ballymoneen Road, Knocknacarra, Co. Galway, H91DCR9",585000,4,3,Detached,150,C2,53.261893,-9.121493,2280,knocknacarra-galway,Galway,"Large detached residence, Good condition, Off-street parking, Popular residential location, Cul-de-sac setting, Well serviced for local amenities",1993
"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",450000,3,2,Detached,85,C3,53.321495,-6.314768,2741,crumlin-dublin,Dublin,"Modern Detached property, Modern kitchen recently installed, Extra insulation fitted, Gas fired central heating, Three bedrooms, DG PVC Windows, Large back garden, Close to City Centre",2005
"12 Cashelmara, Knocknacarra, Co. Galway, H91NDE0",875000,5,5,Detached,237,B3,53.260346,-9.10691,4979,knocknacarra-galway,Galway,"Exceptional detached residence, Turn-key condition, B3 rating, Abundance of accommodation & reception spaces, Plentiful off-street parking, Sought after residentila location, Elevated position with rear views of Rusheen Bay, Well serviced for local amenities & public transport, Close proximity to popular outdoor landmarks, Walking distance to Salthill Promenade & Blackrock Diving Tower",1994
"8 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91W9P8",440000,6,4,Detached,224,B3,52.390385,-7.5422,2179,ballypatrick-tipperary,Tipperary,"Double glazed windows, Oil fired central heating & Solid fuel stove, 6 Bedrooms & 4 Bathrooms, Built 2007, Mains Water",2006
"Misty Moorings, Cappagh, Kinsale, Co. Cork, P17HW73",1600000,5,4,Detached,185,C2,51.701195,-8.544927,7871,kinsale-cork,Cork,"Beautiful Four Bed Detached Home, Approx. 185 sq m / 1,989 sq ft, Site Approx. 0.43 Ha / 1.08 acres, Private mooring, River &amp; harbour views, Planning obtained to join house to apartment, Detached one bed apartment (Approx. 48 sq m/527 sq ft), Separate studio space (Approx. 35 sq m/380 sq ft), Private deck &amp; Infinity Pool, GFCH/OFCH/CCTV",1990
"Dundela House, Golf Links Road, Castletroy, Co. Limerick, V94W0YF",850000,4,4,Detached,407,C2,52.656179,-8.566663,5796,castletroy-limerick,Limerick,"Ample Gated Parking On Site, Close to excellent Primary & Secondary Schools, Tastefully presented interior, Close to Main National Road Network, Close To University Of Limerick, Popular Residential Location",1978
"60 Garranbawn, Murroe, Co. Limerick, V94NW5D",290000,3,3,Semi-D,N/A,B3,52.648681,-8.396758,4864,murroe-limerick,Limerick,"Located in a quiet cul de sac, Master Bedroom with Ensuite Bathroom, Close to All Essential Amenities, Off Street Parking",2006
"Knockgraffon, Cahir, New Inn, Co. Tipperary, E21NX57",AMV: 150000,3,2,Detached,111,F,52.420738,-7.922074,8866,new-inn-tipperary,Tipperary,,1900
"Croan, Dunnamaggan, Co. Kilkenny, R95AT86",425000,4,2,Detached,N/A,C1,52.474167,-7.264213,4532,dunnamaggan-kilkenny,Kilkenny,"0.7 acre site, BER C1, Detached garage, Amazing views, Convenient location ",NA
"19 Ashe Road, Kingsmeadow, Waterford City, Co. Waterford, X91X22R",265000,4,2,Terrace,135,C3,52.249391,-7.127102,2515,waterford-city,Waterford,,NA
"2 Merchants Quay, Merchants Road, City Centre, Galway City, Co. Galway, H91CC83",325000,2,2,Apartment,68,D1,53.270779,-9.05254,3352,galway-city,Galway,"Ground floor & first floor duplex apartment, Well proportioned accommodation, Good condition, Excellent outside space included, City Centre location, Secured complex, Around the corner from Latin Quarter & Spanish Arch, Close proximtiy to Eyre Square, Walking distance to Galway University, Well serviced for amenities expected from city living",1990
"86 Caislean Na Habhann, Castletroy, Co. Limerick, V94KN6W",420000,4,4,Semi-D,N/A,B1,52.656517,-8.570609,3031,castletroy-limerick,Limerick,"Gas fired central heating, South facing back garden, New boiler installed in 2018, Wide pedestrian side gate to fenced rear garden, Two parking spaces in front driveway, Two ensuites & two walk in wardrobes",NA
"Townparks, Castledermot, Castledermot, Co. Kildare, R14WD62",435000,3,2,Detached,129,B3,52.90394,-6.835962,7954,castledermot-kildare,Kildare,"Very good condition throughout, Private site with circa 1 acre, PVC double glazed windows, Within Walking distance to Castledermot and close to transport links , Energy efficient property ",1988
"14 Adelphi Quay, Waterford City, Co. Waterford, X91AR2D",280000,4,2,Terrace,N/A,C3,52.259238,-7.102423,5385,waterford-city,Waterford,"Gas central heating, Private gated parking, Amazing river views, Freshly painted, New carpets",NA
"Kiljames House On Circa 10.91 Acres, Kiljames Lower, Thomastown, Co Kilkenny, R95DH36",1350000,5,8,Detached,529,B2,52.537733,-7.10486,31089,thomastown-kilkenny,Kilkenny,"Executive countryside residence on circa 10.91 Acres, Impressive and spacious light filled accommodation extending to 5,612 Sq. Ft. / 529 Sq. M. approx over three levels, Detached garage extending to circa 1,600 Sq. Ft. / 148 Sq. M. approx., Oil Fired and Geothermal Heating, Underfloor heating in the House and Garage, Internal Vacuum System, Waste Treatment System, Alarm fitted, Double Glazed Sash Windows, Thomas Anderson remote blinds fitted in the Sun Room and the Entrance Hall windows",2006
"Greenanstown, Stamullen, Co. Meath, K32FX24",Price on Application,4,2,Detached,284,D1,53.618901,-6.325605,13086,stamullen-meath,Meath,"4-bedroom detached property on 1-acre site with attic conversion, dual height garage and stables., Attic Conversion includes two rooms and bathroom., Idyllic views of countryside. ,  284sqm extended in 2014. , Integrated appliance including Stanley range and island. , Electric Gates.  , Oil Central Heating., Within a short drive of Stamullen, Balbriggan, Drogheda and Ashbourne.  , Within 20-minute drive of Dublin Airport.",NA
"32 Cartur Mor, Clybaun Road, H91TFY7",400000,4,3,Semi-D,108,D1,53.275508,-9.104506,2545,knocknacarra-galway,Galway,"Four bed semi detached home, Popular residential location, Spacious semi-detached property, Oil Fired eating & double glazed windows, Large attic space suitable for conversion, Tarmacadam driveway with parking, Well serviced by local amenities, Minutes from several shops & schools, Quality transport links to & from Galway City, Easy access to UCHG & University of Galway",2001
"Lisnagar Demesne, Rathcormac, Co. Cork, P61DA00",1700000,5,7,Detached,469,C1,52.075556,-8.298872,7779,rathcormac-cork,Cork,"Total land holding of approx. 10.45 Ha. (25.83 acres) to include 9.92 Ha. (24.51 acres) of arable land , Detached home of approx. 468.83 Sq. M. / 5,046 Sq. Ft., BER C1, Built in 1996, Access via a beautiful tree lined drive-way, Fully automated security gates / Full CCTV system / Commercially alarmed - intruder & fire, Stud railing, Single & three phase power / Back-up generator power supply, Private water supply / Drainage to septic tank / Pumped showers, Internet access",1966
"33 The Park, Janeville, Carrigaline, Co. Cork, P43N524",445000,3,3,Semi-D,122,A3,51.828693,-8.395451,4992,carrigaline-cork,Cork,"Superb 3 Bedroomed Semi Detached Luxury Home, Cork Side of Carrigaline, Located close to the entrance of Janeville, close to the 220 bus route, A3 Energy Rating, Presented in superb condition throughout, Gas Zoned Heating, Bathrooms fully completed with tiling also, Double Driveway, Appliances included in the sale, Cul De Sac location",NA
"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",325000,2,1,End of Terrace,48,D2,53.336208,-6.32927,14435,inchicore-dublin,Dublin,"Year of construction 1910, Recently refurbished, Red brick facade, End of terrace, Sash windows, Ample storage, Block shed, Engineered oak flooring, Fully integrated kitchen, High spec finish",1920
"23 Pine Road, The Woodlands, Portlaw, Co. Waterford, X91CHK3",360000,3,2,Detached,227,B3,52.292848,-7.319326,3570,portlaw-waterford,Waterford,"Prime Location , PVC Double Glazing, Rear Enclosed Garden , Double Glazing , Patio Doors, Sunroom , Oil Fired Central Heating",2005
"115 Carrigweir, Tuam, Tuam, Co. Galway, H54YA24",375000,4,4,Detached,152,B3,53.51468,-8.862157,3068,tuam-galway,Galway,"Impeccably Presented Turnkey Residence , Spacious Accommodation , Highly Energy Efficient, Wonderfully Located, 30 Minutes from Galway City, Walking Distance to Tuam Town, High Speed Broadband Available , Three Floors of Accommodation, Move-in Ready, Exceptional Value for Money",2006
"8 Wyse's Cottages, Blarney Street, Sunday's Well, Co. Cork, T23F8N8",275000,2,1,End of Terrace,74,C1,51.901305,-8.489715,63012,sunday-s-well-cork,Cork,"Fully upgraded throughout, New Gas Zoned Central Heating , Short Walk to Sundays Well, Close to Cork City, Ideal investment Property - no rental history , Private South Facing garden to the front, Cul De Sac, New PVC Double Glazed Windows, Newly wired throughout, Close to UCC",1900
"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",395000,1,1,Apartment,54,B3,53.338922,-6.235775,5904,dublin-4-dublin,Dublin,,2003
"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",330000,4,3,Semi-D,124,C2,53.436233,-8.747767,1923,monivea-galway,Galway,"Spacious Family Residence, Not Overlooked to the Front or Back, Located in the Heart of Abbeyknockmoy Village, 5 Minute Drive to the Motorway, less than 30 Minutes to Galway City",2007
"C. 33.5 Acres At Balinaclough South, Fenor, Co. Waterford, Fenor, Co. Waterford",Price on Application,0,0,Site,33.5,N/A,52.191657,-7.201547,992,fenor-waterford,Waterford,,NA
