Postal_District,Listing_Count,Avg_Price,Median_Price,Avg_Price_Per_SQM
Dublin 1,87,490942.47,345000.0,5838.37
Dublin 10,28,287566.07,280000.0,3563.97
Dublin 11,125,352587.6,295000.0,3890.06
Dublin 12,117,420669.23,400000.0,4941.47
Dublin 13,107,705204.3,495000.0,4828.43
Dublin 14,86,805440.7,712000.0,6142.19
Dublin 15,161,455768.63,385000.0,4467.77
Dublin 16,88,694113.07,625000.0,5693.51
Dublin 17,18,332444.44,302500.0,3891.94
Dublin 18,138,1001911.96,767500.0,5860.43
Dublin 2,62,698306.45,482500.0,7094.22
Dublin 20,19,569207.89,385000.0,4617.54
Dublin 22,88,384408.52,327500.0,3702.01
Dublin 24,105,322827.14,295000.0,3803.51
Dublin 3,75,494280.0,440000.0,5447.06
Dublin 4,149,1340831.88,785000.0,8215.97
Dublin 5,67,549595.52,550000.0,5019.47
Dublin 6,107,1135214.49,925000.0,7500.3
Dublin 6W,26,734536.54,637500.0,6234.7
Dublin 6w,7,638564.29,645000.0,6491.32
Dublin 7,118,535321.19,452500.0,5798.23
Dublin 8,132,464346.59,402475.0,5980.94
Dublin 9,126,504300.4,450000.0,5157.71
Dublin13,1,420000.0,420000.0,3853.21
Dublin16,1,725000.0,725000.0,4769.74
Greater Dublin,906,770229.47,532500.0,5613.8
